#Wavelength [um], Background [J/s/m2/um/arcsec2]
4.000000e-01,2.966630e-17
5.307692e-01,3.336083e-17
6.615385e-01,3.117066e-17
7.923077e-01,2.569192e-17
9.230769e-01,2.027073e-17
1.053846e+00,1.645088e-17
1.184615e+00,1.308449e-17
1.315385e+00,1.105615e-17
1.446154e+00,9.027804e-18
1.576923e+00,7.310582e-18
1.707692e+00,5.940877e-18
1.838462e+00,4.813211e-18
1.969231e+00,3.834814e-18
2.100000e+00,3.153970e-18
2.230769e+00,2.564679e-18
2.361538e+00,2.108573e-18
2.492308e+00,1.585752e-18
2.623077e+00,1.120081e-18
2.753846e+00,9.455425e-19
2.884615e+00,7.710039e-19
3.015385e+00,6.407955e-19
3.146154e+00,5.773261e-19
3.276923e+00,5.333451e-19
3.407692e+00,5.225970e-19
3.538462e+00,5.447517e-19
3.669231e+00,5.857263e-19
3.800000e+00,6.417384e-19
3.930769e+00,7.315304e-19
4.061538e+00,8.267774e-19
4.192308e+00,9.349411e-19
4.323077e+00,1.046846e-18
4.453846e+00,1.167852e-18
4.584615e+00,1.299624e-18
4.715385e+00,1.445801e-18
4.846154e+00,1.679869e-18
4.976923e+00,1.913938e-18
5.107692e+00,2.172669e-18
5.238462e+00,2.436685e-18
5.369231e+00,2.700701e-18
5.500000e+00,2.972102e-18
