#Wavelength [um], R power, Delta lambda [um]
0.750000,893.751797,0.000839
0.767500,851.920634,0.000901
0.785000,813.764529,0.000965
0.802500,778.888662,0.001030
0.820000,746.952475,0.001098
0.837500,717.660736,0.001167
0.855000,690.756307,0.001238
0.872500,666.014256,0.001310
0.890000,643.237015,0.001384
0.907500,622.250400,0.001458
0.925000,602.900288,0.001534
0.942500,585.049850,0.001611
0.960000,568.577228,0.001688
0.977500,553.373574,0.001766
0.995000,539.341384,0.001845
1.012500,526.393086,0.001923
1.030000,514.449829,0.002002
1.047500,503.440443,0.002081
1.065000,493.300545,0.002159
1.082500,483.971767,0.002237
1.100000,475.401083,0.002314
1.117500,467.540227,0.002390
1.135000,460.345181,0.002466
1.152500,453.775731,0.002540
1.170000,447.795077,0.002613
1.187500,442.369484,0.002684
1.205000,437.467981,0.002754
1.222500,433.062092,0.002823
1.240000,429.125594,0.002890
1.257500,425.634311,0.002954
1.275000,422.565922,0.003017
1.292500,419.899790,0.003078
1.310000,417.616816,0.003137
1.327500,415.699303,0.003193
1.345000,414.130832,0.003248
1.362500,412.896156,0.003300
1.380000,411.981102,0.003350
1.397500,411.372481,0.003397
1.415000,411.058007,0.003442
1.432500,411.026229,0.003485
1.450000,411.266461,0.003526
1.467500,411.768724,0.003564
1.485000,412.523692,0.003600
1.502500,413.522643,0.003633
1.520000,414.757414,0.003665
1.537500,416.220357,0.003694
1.555000,417.904308,0.003721
1.572500,419.802546,0.003746
1.590000,421.908765,0.003769
1.607500,424.217046,0.003789
1.625000,426.721826,0.003808
1.642500,429.417880,0.003825
1.660000,432.300293,0.003840
1.677500,435.364443,0.003853
1.695000,438.605980,0.003865
1.712500,442.020811,0.003874
1.730000,445.605080,0.003882
1.747500,449.355155,0.003889
1.765000,453.267615,0.003894
1.782500,457.339236,0.003898
1.800000,461.566980,0.003900
1.817500,465.947982,0.003901
1.835000,470.479542,0.003900
1.852500,475.159115,0.003899
1.870000,479.984300,0.003896
1.887500,484.952835,0.003892
1.905000,490.062587,0.003887
1.922500,495.311545,0.003881
1.940000,500.697815,0.003875
1.957500,506.219612,0.003867
1.975000,511.875255,0.003858
1.992500,517.663162,0.003849
2.010000,523.581842,0.003839
2.027500,529.629894,0.003828
2.045000,535.806003,0.003817
2.062500,542.108930,0.003805
2.080000,548.537515,0.003792
2.097500,555.090668,0.003779
2.115000,561.767370,0.003765
2.132500,568.566665,0.003751
2.150000,575.487663,0.003736
2.167500,582.529530,0.003721
2.185000,589.691491,0.003705
2.202500,596.972826,0.003689
2.220000,604.372866,0.003673
2.237500,611.890992,0.003657
2.255000,619.526632,0.003640
2.272500,627.279261,0.003623
2.290000,635.148399,0.003605
2.307500,643.133605,0.003588
2.325000,651.234481,0.003570
2.342500,659.450666,0.003552
2.360000,667.781839,0.003534
2.377500,676.227712,0.003516
2.395000,684.788034,0.003497
2.412500,693.462587,0.003479
2.430000,702.251184,0.003460
2.447500,711.153671,0.003442
2.465000,720.169922,0.003423
2.482500,729.299842,0.003404
2.500000,738.543364,0.003385
