##NAME: KMOS_Detector_chip3_noise_prob_dist.txt
##DATE: 01-03-14
##TYPE: KMOS detector chip 3 noise properties: 300s dark exposure
##AUTHOR: Simon Zieleniewski
##VERSION: 1.0
##EXTRA: 10x KMOS dark frames (300 s exposure time)
#Total variance, no.of pixels, Variance probability distribution
0.00000e+00,1.83000e+02,0.00000e+00
9.98999e-02,2.39443e+02,1.68472e-05
1.99800e-01,2.95887e+02,5.72945e-05
2.99700e-01,8.07459e+02,1.01296e-04
3.99600e-01,1.31995e+03,2.50542e-04
4.99499e-01,2.41998e+03,3.99691e-04
5.99399e-01,3.52237e+03,8.29693e-04
6.99299e-01,5.27915e+03,1.18070e-03
7.99199e-01,7.03989e+03,2.09306e-03
8.99099e-01,9.42941e+03,2.74986e-03
9.98999e-01,1.18240e+04,4.34955e-03
1.09890e+00,1.47813e+04,5.41058e-03
1.19880e+00,1.77444e+04,7.88669e-03
1.29870e+00,2.10435e+04,9.43357e-03
1.39860e+00,2.43467e+04,1.29222e-02
1.49850e+00,2.81586e+04,1.50161e-02
1.59840e+00,3.19778e+04,1.96603e-02
1.69830e+00,3.55910e+04,2.23550e-02
1.79820e+00,3.92009e+04,2.81765e-02
1.89810e+00,4.30482e+04,3.14566e-02
1.99800e+00,4.68998e+04,3.84774e-02
2.09790e+00,5.09012e+04,4.23777e-02
2.19780e+00,5.49057e+04,5.06572e-02
2.29770e+00,5.86577e+04,5.51862e-02
2.39760e+00,6.24039e+04,6.46928e-02
2.49750e+00,6.56368e+04,6.97991e-02
2.59740e+00,6.88571e+04,8.03980e-02
2.69730e+00,7.16712e+04,8.60023e-02
2.79720e+00,7.44744e+04,9.75472e-02
2.89710e+00,7.73280e+04,1.03601e-01
2.99700e+00,8.01832e+04,1.16051e-01
3.09690e+00,8.23072e+04,1.22531e-01
3.19680e+00,8.44086e+04,1.35744e-01
3.29670e+00,8.66019e+04,1.42564e-01
3.39660e+00,8.87982e+04,1.56467e-01
3.49650e+00,9.03499e+04,1.63611e-01
3.59640e+00,9.18788e+04,1.78085e-01
3.69630e+00,9.30477e+04,1.85460e-01
3.79620e+00,9.42030e+04,2.00349e-01
3.89610e+00,9.54175e+04,2.07911e-01
3.99600e+00,9.66342e+04,2.23181e-01
4.09590e+00,9.68834e+04,2.30898e-01
4.19580e+00,9.70922e+04,2.46362e-01
4.29570e+00,9.72737e+04,2.54113e-01
4.39560e+00,9.74541e+04,2.69638e-01
4.49550e+00,9.77399e+04,2.77422e-01
4.59540e+00,9.80306e+04,2.93025e-01
4.69530e+00,9.75756e+04,3.00826e-01
4.79520e+00,9.70846e+04,3.16372e-01
4.89510e+00,9.69027e+04,3.24108e-01
4.99499e+00,9.67363e+04,3.39559e-01
5.09489e+00,9.61586e+04,3.47252e-01
5.19479e+00,9.55592e+04,3.62567e-01
5.29469e+00,9.44357e+04,3.70144e-01
5.39459e+00,9.32834e+04,3.85163e-01
5.49449e+00,9.26635e+04,3.92578e-01
5.59439e+00,9.20741e+04,4.07337e-01
5.69429e+00,9.10273e+04,4.14639e-01
5.79419e+00,8.99534e+04,4.29117e-01
5.89409e+00,8.90907e+04,4.36257e-01
5.99399e+00,8.82411e+04,4.50435e-01
6.09389e+00,8.68318e+04,4.57417e-01
6.19379e+00,8.53868e+04,4.71211e-01
6.29369e+00,8.42265e+04,4.77975e-01
6.39359e+00,8.30852e+04,4.91366e-01
6.49349e+00,8.17260e+04,4.97939e-01
6.59339e+00,8.03519e+04,5.10921e-01
6.69329e+00,7.93267e+04,5.17289e-01
6.79319e+00,7.83262e+04,5.29903e-01
6.89309e+00,7.70413e+04,5.36099e-01
6.99299e+00,7.57356e+04,5.48337e-01
7.09289e+00,7.44526e+04,5.54327e-01
7.19279e+00,7.31714e+04,5.66152e-01
7.29269e+00,7.18652e+04,5.71936e-01
7.39259e+00,7.05570e+04,5.83348e-01
7.49249e+00,6.93038e+04,5.88926e-01
7.59239e+00,6.80551e+04,5.99932e-01
7.69229e+00,6.68230e+04,6.05311e-01
7.79219e+00,6.55922e+04,6.15921e-01
7.89209e+00,6.42449e+04,6.21099e-01
