##NAME: LTAOdata.txt
##DATE: 17-11-14
##TYPE: LTAO PSF parameter data file
##AUTHOR: Thierry Fusco & Simon Zieleniewski
##VERSION: 1.0
##EXTRA: LTAO PSFs 22-02-13, 6 LGS, Perfect M1, 0.67'' seeing, zenith angle 30 deg, 2' asterism diameter, 3 mas residual jitter
#Wavelength [um], 0p67" - oh, mh, mw, mq, lh, lp, lw, m2h, m2w, m2q, 0p95" - oh, mh, mw, mq, lh, lp, lw, m2h, m2w, m2q
4.00000e-01,6.54975e-08,3.29924e-06,3.74163e+02,2.40100e+00,1.46013e-07,1.20721e+01,3.62077e+01,7.73827e-08,1.50549e+01,4.76500e+00,1.04043e-09,1.46968e-06,5.65972e+02,2.37030e+00,3.31161e-09,1.00103e+01,6.93351e+01,2.63598e-09,2.98113e+00,4.76500e+00
5.00000e-01,4.86460e-07,3.81259e-06,3.10144e+02,2.16650e+00,1.32698e-06,1.36183e+01,3.01112e+01,1.39997e-06,1.23627e+01,6.41410e+00,4.24210e-09,1.84905e-06,4.90887e+02,2.32000e+00,3.67582e-08,1.25116e+01,6.49609e+01,1.65468e-08,3.22951e+01,4.76500e+00
6.00000e-01,8.46448e-07,4.86256e-06,2.62354e+02,2.07090e+00,3.17890e-06,1.70268e+01,2.04377e+01,2.60919e-05,9.10411e+00,4.67780e+00,2.95562e-07,2.04507e-06,4.56396e+02,2.30720e+00,2.90019e-08,1.46415e+01,5.00518e+01,4.13172e-07,1.01252e+02,1.40500e+00
7.00000e-01,6.22882e-06,5.09568e-06,2.56654e+02,2.09440e+00,6.85232e-06,2.10526e+01,1.68889e+01,1.24842e-04,6.13343e+00,2.40670e+00,1.51696e-06,2.25258e-06,4.14466e+02,2.22570e+00,1.15411e-06,1.91452e+01,4.43798e+01,3.47955e-06,5.42071e+00,2.98130e+00
8.00000e-01,1.08290e-05,4.71187e-06,2.52218e+02,2.09960e+00,1.03677e-05,2.31347e+01,1.71747e+01,3.60972e-04,5.43935e+00,2.19120e+00,5.94939e-06,2.38708e-06,3.76534e+02,2.12200e+00,2.45274e-06,2.37879e+01,2.99421e+01,2.45442e-05,5.10139e+00,2.41900e+00
9.00000e-01,2.31190e-04,4.50124e-06,2.48850e+02,2.09780e+00,1.32326e-05,2.64785e+01,1.57146e+01,4.70905e-04,7.56346e+00,2.86550e+00,4.02979e-05,2.59261e-06,3.54186e+02,2.12210e+00,3.73780e-06,2.64493e+01,3.18544e+01,5.79350e-05,9.39687e+00,4.08850e+00
1.00000e+00,4.56709e-04,4.07086e-06,2.52612e+02,2.11610e+00,1.42764e-05,2.90214e+01,1.56848e+01,6.86666e-04,8.64256e+00,3.14530e+00,1.37337e-04,2.57654e-06,3.48820e+02,2.13660e+00,5.74090e-06,2.89885e+01,2.82503e+01,9.05822e-05,2.85025e+01,2.21150e+01
1.10000e+00,7.30201e-04,3.57991e-06,2.58971e+02,2.13180e+00,1.40975e-05,3.22356e+01,1.60511e+01,7.78379e-04,7.55470e+00,2.56370e+00,2.55576e-04,2.63454e-06,3.30932e+02,2.05770e+00,7.42187e-06,3.08941e+01,2.02647e+01,1.42194e-04,2.58908e+01,1.57040e+01
1.20000e+00,1.11881e-03,3.06254e-06,2.71059e+02,2.16950e+00,1.34094e-05,3.48413e+01,1.67337e+01,7.78177e-04,9.07598e+00,2.86760e+00,3.93802e-04,2.54570e-06,3.22021e+02,2.04510e+00,7.71323e-06,3.26891e+01,2.33032e+01,2.01531e-04,2.16240e+01,1.08790e+01
1.30000e+00,1.54514e-03,2.60466e-06,2.82687e+02,2.19140e+00,1.21113e-05,3.77897e+01,1.74499e+01,7.09367e-04,9.53909e+00,2.80230e+00,5.54424e-04,2.39302e-06,3.22226e+02,2.04140e+00,8.17731e-06,3.60325e+01,2.23091e+01,2.67593e-04,1.68964e+01,6.62100e+00
1.40000e+00,1.93084e-03,2.17099e-06,2.98843e+02,2.23430e+00,1.09619e-05,3.99084e+01,1.87117e+01,4.35871e-04,1.51076e+01,4.08110e+00,7.16985e-04,2.20652e-06,3.25446e+02,2.04190e+00,8.24217e-06,3.92030e+01,2.19650e+01,3.06926e-04,1.57284e+01,5.43020e+00
1.50000e+00,2.22668e-03,1.79037e-06,3.17586e+02,2.28520e+00,9.68161e-06,4.19141e+01,2.04150e+01,2.63009e-04,2.72103e+01,8.08530e+00,8.70352e-04,1.99872e-06,3.31578e+02,2.04710e+00,8.00587e-06,4.22447e+01,2.21145e+01,3.46814e-04,2.51066e+01,4.81260e+00
1.60000e+00,2.17492e-03,1.46763e-06,3.39416e+02,2.34830e+00,8.47048e-06,4.37972e+01,2.23195e+01,1.98208e-04,3.54947e+01,1.43600e+01,1.02883e-03,1.79645e-06,3.38877e+02,2.05040e+00,7.58622e-06,4.52972e+01,2.23083e+01,3.60662e-04,3.49108e+01,1.47110e+01
1.70000e+00,2.19174e-03,1.20292e-06,3.65266e+02,2.42950e+00,7.38006e-06,4.57850e+01,2.43362e+01,1.77917e-04,4.58963e+01,2.28540e+01,1.17412e-03,1.54408e-06,3.57236e+02,2.09890e+00,7.02662e-06,4.70617e+01,2.42040e+01,3.66909e-04,4.50523e+01,2.27420e+01
1.80000e+00,2.15338e-03,1.00460e-06,3.88082e+02,2.48440e+00,6.36302e-06,4.82790e+01,2.58749e+01,1.63436e-04,5.80411e+01,3.26150e+01,1.21559e-03,1.40884e-06,3.61958e+02,2.08100e+00,6.49799e-06,5.11198e+01,2.34700e+01,3.77594e-04,5.57203e+01,3.44420e+01
1.90000e+00,2.15029e-03,8.61586e-07,4.20833e+02,2.51200e+00,5.51946e-06,5.12826e+01,2.68051e+01,1.49164e-04,6.41212e+01,4.64910e+01,1.22129e-03,1.23061e-06,3.78368e+02,2.11130e+00,5.95248e-06,5.38066e+01,2.43299e+01,4.10990e-04,6.58630e+01,4.55980e+01
2.00000e+00,2.12216e-03,7.26095e-07,4.33417e+02,2.52500e+00,4.83361e-06,5.35978e+01,2.77041e+01,1.40540e-04,7.90364e+01,5.51110e+01,1.31529e-03,1.08572e-06,3.93568e+02,2.13210e+00,5.39601e-06,5.69864e+01,2.47492e+01,3.82064e-04,7.67171e+01,5.68180e+01
2.10000e+00,2.06135e-03,6.55040e-07,4.47987e+02,2.53780e+00,4.13345e-06,5.82154e+01,2.80380e+01,1.15829e-04,8.41980e+01,6.18690e+01,1.32010e-03,9.34461e-07,4.17386e+02,2.18660e+00,4.83634e-06,5.95069e+01,2.62225e+01,3.79948e-04,8.76234e+01,6.12070e+01
2.20000e+00,1.94688e-03,5.76353e-07,4.70544e+02,2.55360e+00,3.58871e-06,6.18914e+01,2.83089e+01,9.93950e-05,9.84708e+01,7.90730e+01,1.32899e-03,8.30487e-07,4.33269e+02,2.20530e+00,4.38568e-06,6.27395e+01,2.65350e+01,3.75315e-04,9.73898e+01,7.69780e+01
2.30000e+00,1.88510e-03,4.81867e-07,4.93005e+02,2.56730e+00,3.10914e-06,6.34798e+01,2.84906e+01,9.53038e-05,1.08163e+02,8.94550e+01,1.31604e-03,7.33257e-07,4.53842e+02,2.23990e+00,3.96910e-06,6.62055e+01,2.69252e+01,3.66379e-04,1.09710e+02,8.83490e+01
2.40000e+00,1.81985e-03,4.52519e-07,5.09586e+02,2.57840e+00,2.65048e-06,6.70045e+01,2.84874e+01,7.92737e-05,1.11961e+02,9.73710e+01,1.35396e-03,6.50238e-07,4.72496e+02,2.26330e+00,3.57117e-06,6.95477e+01,2.73484e+01,3.51152e-04,1.17924e+02,9.61090e+01
