# NAME: H+K_grating.txt
# DATE: 15/01/2018 10:19:21GMT
# TYPE: Transmission estimate including FPRS, Cryostat, Pre-optics, IFU, Spectrograph and Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2017-11-05T15:43:53Z
# GRATING: HK R=3500
# 
# Wavelength[um],throughput
0.450,0.0000e+00
0.475,0.0000e+00
0.500,0.0000e+00
0.525,0.0000e+00
0.550,0.0000e+00
0.575,0.0000e+00
0.600,0.0000e+00
0.625,0.0000e+00
0.650,0.0000e+00
0.675,0.0000e+00
0.700,0.0000e+00
0.725,0.0000e+00
0.750,0.0000e+00
0.775,0.0000e+00
0.800,0.0000e+00
0.825,0.0000e+00
0.850,0.0000e+00
0.875,0.0000e+00
0.900,0.0000e+00
0.925,0.0000e+00
0.950,0.0000e+00
0.975,0.0000e+00
1.000,0.0000e+00
1.025,0.0000e+00
1.050,0.0000e+00
1.075,0.0000e+00
1.100,0.0000e+00
1.125,0.0000e+00
1.150,0.0000e+00
1.175,0.0000e+00
1.200,0.0000e+00
1.225,0.0000e+00
1.250,0.0000e+00
1.275,0.0000e+00
1.300,0.0000e+00
1.325,0.0000e+00
1.350,0.0000e+00
1.375,0.0000e+00
1.400,0.0000e+00
1.425,1.7563e-01
1.450,3.5548e-01
1.475,3.7857e-01
1.500,4.0236e-01
1.525,4.2187e-01
1.550,4.3821e-01
1.575,4.5945e-01
1.600,4.7283e-01
1.625,4.9017e-01
1.650,5.0582e-01
1.675,5.1358e-01
1.700,5.2841e-01
1.725,5.3629e-01
1.750,5.4281e-01
1.775,5.5647e-01
1.800,5.6184e-01
1.825,5.6343e-01
1.850,5.7277e-01
1.875,5.7816e-01
1.900,5.7403e-01
1.925,5.7299e-01
1.950,5.7645e-01
1.975,5.7255e-01
2.000,5.6477e-01
2.025,5.5679e-01
2.050,5.5179e-01
2.075,5.5009e-01
2.100,5.4229e-01
2.125,5.3562e-01
2.150,5.2431e-01
2.175,5.1024e-01
2.200,4.9365e-01
2.225,4.8270e-01
2.250,4.7036e-01
2.275,4.5983e-01
2.300,4.5277e-01
2.325,4.4343e-01
2.350,4.3381e-01
2.375,4.2699e-01
2.400,4.1940e-01
2.425,4.0524e-01
2.450,3.8574e-01
