# NAME: ELT_mirror_reflectivity.txt
# DATE: 30/03/2022
# TYPE:  Mirror Throughput
# VERSION: 1.2
# ORIGIN: ELT Throughput Budget Baseline Tabulated Data.xlsx
#	ESO-253082_4 2019-12-27
# 	Reflectivity M1--M6
# 
# Wavelength[um],throughput
0.300,7.695E-06
0.305,1.604E-06
0.310,1.458E-07
0.315,1.675E-09
0.320,1.537E-11
0.325,1.024E-05
0.330,2.000E-03
0.335,1.896E-02
0.340,5.187E-02
0.345,8.992E-02
0.350,1.263E-01
0.355,1.602E-01
0.360,1.886E-01
0.365,2.182E-01
0.370,2.444E-01
0.375,2.692E-01
0.380,2.947E-01
0.385,3.171E-01
0.390,3.395E-01
0.395,3.608E-01
0.400,3.832E-01
0.405,4.023E-01
0.410,4.210E-01
0.415,4.402E-01
0.420,4.558E-01
0.425,4.720E-01
0.430,4.868E-01
0.435,5.000E-01
0.440,5.140E-01
0.445,5.264E-01
0.450,5.373E-01
0.455,5.476E-01
0.460,5.575E-01
0.465,5.652E-01
0.470,5.741E-01
0.475,5.818E-01
0.480,5.925E-01
0.485,5.986E-01
0.490,6.041E-01
0.495,6.121E-01
0.500,6.171E-01
0.505,6.266E-01
0.510,6.299E-01
0.515,6.352E-01
0.520,6.415E-01
0.525,6.449E-01
0.530,6.496E-01
0.535,6.565E-01
0.540,6.601E-01
0.545,6.638E-01
0.550,6.683E-01
0.555,6.735E-01
0.560,6.730E-01
0.565,6.786E-01
0.570,6.827E-01
0.575,6.856E-01
0.580,6.909E-01
0.585,6.915E-01
0.590,6.955E-01
0.595,6.984E-01
0.600,7.009E-01
0.605,7.028E-01
0.610,7.070E-01
0.615,7.072E-01
0.620,7.081E-01
0.625,7.140E-01
0.630,7.141E-01
0.635,7.147E-01
0.640,7.167E-01
0.645,7.207E-01
0.650,7.199E-01
0.655,7.251E-01
0.660,7.258E-01
0.665,7.260E-01
0.670,7.281E-01
0.675,7.314E-01
0.680,7.329E-01
0.685,7.335E-01
0.690,7.347E-01
0.695,7.362E-01
0.700,7.363E-01
0.705,7.400E-01
0.710,7.373E-01
0.715,7.414E-01
0.720,7.407E-01
0.725,7.420E-01
0.730,7.472E-01
0.735,7.449E-01
0.740,7.453E-01
0.745,7.473E-01
0.750,7.495E-01
0.755,7.523E-01
0.760,7.534E-01
0.765,7.512E-01
0.770,7.543E-01
0.775,7.522E-01
0.780,7.540E-01
0.785,7.590E-01
0.790,7.521E-01
0.795,7.544E-01
0.800,7.332E-01
0.805,7.385E-01
0.810,7.380E-01
0.815,7.428E-01
0.820,7.407E-01
0.825,7.411E-01
0.830,7.444E-01
0.835,7.413E-01
0.840,7.492E-01
0.845,7.443E-01
0.850,7.505E-01
0.855,7.568E-01
0.860,7.576E-01
0.865,7.591E-01
0.870,7.638E-01
0.875,7.671E-01
0.880,7.831E-01
0.885,7.714E-01
0.890,7.735E-01
0.895,7.766E-01
0.900,7.796E-01
0.905,7.847E-01
0.910,7.872E-01
0.915,7.880E-01
0.920,7.923E-01
0.925,7.964E-01
0.930,7.992E-01
0.935,8.064E-01
0.940,8.092E-01
0.945,8.145E-01
0.950,8.158E-01
0.955,8.201E-01
0.960,8.216E-01
0.965,8.216E-01
0.970,8.254E-01
0.975,8.294E-01
0.980,8.306E-01
0.985,8.323E-01
0.990,8.360E-01
0.995,8.355E-01
1.000,8.359E-01
1.005,8.407E-01
1.010,8.416E-01
1.015,8.456E-01
1.020,8.465E-01
1.025,8.494E-01
1.030,8.507E-01
1.035,8.509E-01
1.040,8.526E-01
1.045,8.564E-01
1.050,8.534E-01
1.055,8.581E-01
1.060,8.591E-01
1.065,8.573E-01
1.070,8.611E-01
1.075,8.631E-01
1.080,8.611E-01
1.085,8.617E-01
1.090,8.619E-01
1.095,8.646E-01
1.100,8.635E-01
1.105,8.660E-01
1.110,8.661E-01
1.115,8.664E-01
1.120,8.707E-01
1.125,8.682E-01
1.130,8.683E-01
1.135,8.712E-01
1.140,8.708E-01
1.145,8.702E-01
1.150,8.734E-01
1.155,8.749E-01
1.160,8.754E-01
1.165,8.748E-01
1.170,8.759E-01
1.175,8.766E-01
1.180,8.763E-01
1.185,8.798E-01
1.190,8.804E-01
1.195,8.776E-01
1.200,8.814E-01
1.205,8.805E-01
1.210,8.890E-01
1.215,8.855E-01
1.220,8.856E-01
1.225,8.882E-01
1.230,8.869E-01
1.235,8.901E-01
1.240,8.878E-01
1.245,8.896E-01
1.250,8.926E-01
1.255,8.926E-01
1.260,8.926E-01
1.265,8.932E-01
1.270,8.929E-01
1.275,8.959E-01
1.280,8.932E-01
1.285,8.962E-01
1.290,8.967E-01
1.295,8.980E-01
1.300,8.955E-01
1.305,8.992E-01
1.310,8.947E-01
1.315,8.973E-01
1.320,8.978E-01
1.325,8.979E-01
1.330,8.981E-01
1.335,9.001E-01
1.340,9.005E-01
1.345,8.993E-01
1.350,9.028E-01
1.355,9.036E-01
1.360,9.022E-01
1.365,9.039E-01
1.370,9.070E-01
1.375,9.050E-01
1.380,9.057E-01
1.385,9.058E-01
1.390,9.068E-01
1.395,9.060E-01
1.400,9.043E-01
1.405,9.073E-01
1.410,9.102E-01
1.415,9.066E-01
1.420,9.080E-01
1.425,9.049E-01
1.430,9.073E-01
1.435,9.074E-01
1.440,9.073E-01
1.445,9.053E-01
1.450,9.083E-01
1.455,9.074E-01
1.460,9.083E-01
1.465,9.089E-01
1.470,9.109E-01
1.475,9.069E-01
1.480,9.100E-01
1.485,9.096E-01
1.490,9.111E-01
1.495,9.095E-01
1.500,9.102E-01
1.505,9.076E-01
1.510,9.099E-01
1.515,9.122E-01
1.520,9.136E-01
1.525,9.100E-01
1.530,9.132E-01
1.535,9.115E-01
1.540,9.142E-01
1.545,9.099E-01
1.550,9.142E-01
