# NAME: FPRS.txt
# DATE: 09/07/2018 15:14:36BST
# TYPE: FPRS transmission estimate
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# 
# Wavelength[um],throughput
0.450,8.5631e-01
0.475,8.8155e-01
0.500,8.5081e-01
0.525,8.4657e-01
0.550,8.5002e-01
0.575,8.3728e-01
0.600,8.3110e-01
0.625,8.3578e-01
0.650,8.4412e-01
0.675,8.4208e-01
0.700,8.2999e-01
0.725,8.1588e-01
0.750,8.0420e-01
0.775,7.9885e-01
0.800,7.9761e-01
0.825,8.0331e-01
0.850,8.0838e-01
0.875,8.1128e-01
0.900,8.1224e-01
0.925,8.1429e-01
0.950,8.1607e-01
0.975,8.1866e-01
1.000,8.2246e-01
1.025,8.2638e-01
1.050,8.3165e-01
1.075,8.3817e-01
1.100,8.4525e-01
1.125,8.5198e-01
1.150,8.5844e-01
1.175,8.6422e-01
1.200,8.6891e-01
1.225,8.7286e-01
1.250,8.7578e-01
1.275,8.7776e-01
1.300,8.7894e-01
1.325,8.7912e-01
1.350,8.7874e-01
1.375,8.7713e-01
1.400,8.7676e-01
1.425,8.7731e-01
1.450,8.7740e-01
1.475,8.7774e-01
1.500,8.7843e-01
1.525,8.7844e-01
1.550,8.7887e-01
1.575,8.7981e-01
1.600,8.8112e-01
1.625,8.8294e-01
1.650,8.8508e-01
1.675,8.8766e-01
1.700,8.9029e-01
1.725,8.9316e-01
1.750,8.9615e-01
1.775,8.9911e-01
1.800,9.0204e-01
1.825,9.0489e-01
1.850,9.0763e-01
1.875,9.1013e-01
1.900,9.1244e-01
1.925,9.1427e-01
1.950,9.1564e-01
1.975,9.1687e-01
2.000,9.1782e-01
2.025,9.1822e-01
2.050,9.1828e-01
2.075,9.1805e-01
2.100,9.1750e-01
2.125,9.1656e-01
2.150,9.1498e-01
2.175,9.1264e-01
2.200,9.0601e-01
2.225,9.0192e-01
2.250,9.0045e-01
2.275,9.0023e-01
2.300,8.9892e-01
2.325,8.9630e-01
2.350,8.9288e-01
2.375,8.8888e-01
2.400,8.8433e-01
2.425,8.7877e-01
2.450,8.7320e-01
