# NAME: H+K_grating.txt
# DATE: 17/07/2019 16:16:15BST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: HK R=3500
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.475,1.0000e+00
0.500,1.0000e+00
0.525,1.0000e+00
0.550,1.0000e+00
0.575,1.0000e+00
0.600,1.0000e+00
0.625,1.0000e+00
0.650,1.0000e+00
0.675,1.0000e+00
0.700,1.0000e+00
0.725,1.0000e+00
0.750,1.0000e+00
0.775,1.0000e+00
0.800,1.0000e+00
0.825,1.0000e+00
0.850,1.0000e+00
0.875,1.0000e+00
0.900,1.0000e+00
0.925,1.0000e+00
0.950,1.0000e+00
0.975,1.0000e+00
1.000,1.0000e+00
1.025,1.0000e+00
1.050,1.0000e+00
1.075,1.0000e+00
1.100,1.0000e+00
1.125,1.0000e+00
1.150,1.0000e+00
1.175,1.0000e+00
1.200,1.0000e+00
1.225,1.0000e+00
1.250,1.0000e+00
1.275,1.0000e+00
1.300,1.0000e+00
1.325,1.0000e+00
1.350,1.0000e+00
1.375,1.0000e+00
1.400,1.0000e+00
1.425,6.9982e-01
1.450,3.9965e-01
1.475,3.6778e-01
1.500,3.3584e-01
1.525,3.0898e-01
1.550,2.8695e-01
1.575,2.5739e-01
1.600,2.4103e-01
1.625,2.1907e-01
1.650,2.0071e-01
1.675,1.9545e-01
1.700,1.7918e-01
1.725,1.7461e-01
1.750,1.7050e-01
1.775,1.5505e-01
1.800,1.5210e-01
1.825,1.5557e-01
1.850,1.4757e-01
1.875,1.4698e-01
1.900,1.6010e-01
1.925,1.6729e-01
1.950,1.6704e-01
1.975,1.7751e-01
2.000,1.9359e-01
2.025,2.0854e-01
2.050,2.1815e-01
2.075,2.2260e-01
2.100,2.3539e-01
2.125,2.4608e-01
2.150,2.6141e-01
2.175,2.7889e-01
2.200,2.8854e-01
2.225,2.9679e-01
2.250,3.1457e-01
2.275,3.3306e-01
2.300,3.4366e-01
2.325,3.5440e-01
2.350,3.6360e-01
2.375,3.6763e-01
2.400,3.7086e-01
2.425,3.8163e-01
2.450,4.0078e-01
