# NAME: H_grating.txt
# DATE: 17/07/2019 16:16:16BST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: H R=7000
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.475,1.0000e+00
0.500,1.0000e+00
0.525,1.0000e+00
0.550,1.0000e+00
0.575,1.0000e+00
0.600,1.0000e+00
0.625,1.0000e+00
0.650,1.0000e+00
0.675,1.0000e+00
0.700,1.0000e+00
0.725,1.0000e+00
0.750,1.0000e+00
0.775,1.0000e+00
0.800,1.0000e+00
0.825,1.0000e+00
0.850,1.0000e+00
0.875,1.0000e+00
0.900,1.0000e+00
0.925,1.0000e+00
0.950,1.0000e+00
0.975,1.0000e+00
1.000,1.0000e+00
1.025,1.0000e+00
1.050,1.0000e+00
1.075,1.0000e+00
1.100,1.0000e+00
1.125,1.0000e+00
1.150,1.0000e+00
1.175,1.0000e+00
1.200,1.0000e+00
1.225,1.0000e+00
1.250,1.0000e+00
1.275,1.0000e+00
1.300,1.0000e+00
1.325,1.0000e+00
1.350,1.0000e+00
1.375,1.0000e+00
1.400,1.0000e+00
1.425,4.0037e-01
1.450,1.2422e-01
1.475,1.0450e-01
1.500,8.6880e-02
1.525,7.3360e-02
1.550,6.3330e-02
1.575,5.2028e-02
1.600,5.0316e-02
1.625,4.8040e-02
1.650,4.8548e-02
1.675,5.8052e-02
1.700,6.5119e-02
1.725,7.7263e-02
1.750,9.0714e-02
1.775,1.0168e-01
1.800,1.1760e-01
1.825,3.9489e-01
1.850,1.0000e+00
1.875,1.0000e+00
1.900,1.0000e+00
1.925,1.0000e+00
1.950,1.0000e+00
1.975,1.0000e+00
2.000,1.0000e+00
2.025,1.0000e+00
2.050,1.0000e+00
2.075,1.0000e+00
2.100,1.0000e+00
2.125,1.0000e+00
2.150,1.0000e+00
2.175,1.0000e+00
2.200,1.0000e+00
2.225,1.0000e+00
2.250,1.0000e+00
2.275,1.0000e+00
2.300,1.0000e+00
2.325,1.0000e+00
2.350,1.0000e+00
2.375,1.0000e+00
2.400,1.0000e+00
2.425,1.0000e+00
2.450,1.0000e+00
