# NAME: J-long_grating.txt
# DATE: 27/09/2019 16:54:23CEST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=18000 shifted and lambda/2
# 
# Wavelength[um],emissivity
0.277,1.0000e+00
0.289,1.0000e+00
0.302,1.0000e+00
0.314,1.0000e+00
0.327,1.0000e+00
0.339,1.0000e+00
0.352,1.0000e+00
0.364,1.0000e+00
0.377,1.0000e+00
0.389,1.0000e+00
0.402,1.0000e+00
0.414,1.0000e+00
0.427,1.0000e+00
0.439,1.0000e+00
0.452,1.0000e+00
0.464,1.0000e+00
0.477,1.0000e+00
0.489,1.0000e+00
0.502,1.0000e+00
0.514,1.0000e+00
0.527,1.0000e+00
0.539,1.0000e+00
0.552,1.0000e+00
0.564,1.0000e+00
0.577,1.0000e+00
0.589,1.0000e+00
0.602,1.0000e+00
0.614,1.0000e+00
0.627,1.0000e+00
0.639,1.0000e+00
0.652,1.0000e+00
0.664,1.0000e+00
0.677,1.0000e+00
0.689,1.0000e+00
0.702,1.0000e+00
0.714,1.0000e+00
0.727,1.0000e+00
0.739,1.0000e+00
0.752,1.0000e+00
0.764,1.0000e+00
0.777,1.0000e+00
0.789,1.0000e+00
0.802,1.0000e+00
0.814,1.0000e+00
0.827,1.0000e+00
0.839,1.0000e+00
0.852,1.0000e+00
0.864,1.0000e+00
0.877,1.0000e+00
0.889,1.0000e+00
0.902,1.0000e+00
0.914,1.0000e+00
0.927,1.0000e+00
0.939,1.0000e+00
0.952,1.0000e+00
0.964,1.0000e+00
0.977,1.0000e+00
0.989,1.0000e+00
1.002,1.0000e+00
1.014,1.0000e+00
1.027,1.0000e+00
1.039,1.0000e+00
1.052,1.0000e+00
1.064,1.0000e+00
1.077,1.0000e+00
1.089,5.5956e-01
1.102,2.2031e-01
1.114,2.0411e-01
1.127,1.9607e-01
1.139,1.9571e-01
1.152,1.9951e-01
1.164,2.0982e-01
1.177,2.3008e-01
1.189,2.5655e-01
1.202,1.0000e+00
1.214,1.0000e+00
1.227,1.0000e+00
1.239,1.0000e+00
1.252,1.0000e+00
1.264,1.0000e+00
1.277,1.0000e+00
