# NAME: J-short_grating.txt
# DATE: 27/09/2019 16:54:22CEST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=18000 shifted and lambda/2
# 
# Wavelength[um],emissivity
0.190,1.0000e+00
0.203,1.0000e+00
0.215,1.0000e+00
0.228,1.0000e+00
0.240,1.0000e+00
0.253,1.0000e+00
0.265,1.0000e+00
0.278,1.0000e+00
0.290,1.0000e+00
0.303,1.0000e+00
0.315,1.0000e+00
0.328,1.0000e+00
0.340,1.0000e+00
0.353,1.0000e+00
0.365,1.0000e+00
0.378,1.0000e+00
0.390,1.0000e+00
0.403,1.0000e+00
0.415,1.0000e+00
0.428,1.0000e+00
0.440,1.0000e+00
0.453,1.0000e+00
0.465,1.0000e+00
0.478,1.0000e+00
0.490,1.0000e+00
0.503,1.0000e+00
0.515,1.0000e+00
0.528,1.0000e+00
0.540,1.0000e+00
0.553,1.0000e+00
0.565,1.0000e+00
0.578,1.0000e+00
0.590,1.0000e+00
0.603,1.0000e+00
0.615,1.0000e+00
0.628,1.0000e+00
0.640,1.0000e+00
0.653,1.0000e+00
0.665,1.0000e+00
0.678,1.0000e+00
0.690,1.0000e+00
0.703,1.0000e+00
0.715,1.0000e+00
0.728,1.0000e+00
0.740,1.0000e+00
0.753,1.0000e+00
0.765,1.0000e+00
0.778,1.0000e+00
0.790,1.0000e+00
0.803,1.0000e+00
0.815,1.0000e+00
0.828,1.0000e+00
0.840,1.0000e+00
0.853,1.0000e+00
0.865,1.0000e+00
0.878,1.0000e+00
0.890,1.0000e+00
0.903,1.0000e+00
0.915,1.0000e+00
0.928,1.0000e+00
0.940,1.0000e+00
0.953,1.0000e+00
0.965,1.0000e+00
0.978,1.0000e+00
0.990,1.0000e+00
1.003,5.5956e-01
1.015,2.2031e-01
1.028,2.0411e-01
1.040,1.9607e-01
1.053,1.9571e-01
1.065,1.9951e-01
1.078,2.0982e-01
1.090,2.3008e-01
1.103,2.5655e-01
1.115,1.0000e+00
1.128,1.0000e+00
1.140,1.0000e+00
1.153,1.0000e+00
1.165,1.0000e+00
1.178,1.0000e+00
1.190,1.0000e+00
