# NAME: J_grating.txt
# DATE: 22/05/2018 21:29:31BST
# TYPE: Transmission estimate including Cryostat, Pre-optics, IFU, Spectrograph and Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2017-11-05T15:43:53Z
# GRATING: J R=7000
# 
# Wavelength[um],throughput
0.450,0.0000e+00
0.475,0.0000e+00
0.500,0.0000e+00
0.525,0.0000e+00
0.550,0.0000e+00
0.575,0.0000e+00
0.600,0.0000e+00
0.625,0.0000e+00
0.650,0.0000e+00
0.675,0.0000e+00
0.700,0.0000e+00
0.725,0.0000e+00
0.750,0.0000e+00
0.775,0.0000e+00
0.800,0.0000e+00
0.825,0.0000e+00
0.850,0.0000e+00
0.875,0.0000e+00
0.900,0.0000e+00
0.925,0.0000e+00
0.950,0.0000e+00
0.975,0.0000e+00
1.000,0.0000e+00
1.025,2.6065e-01
1.050,5.0138e-01
1.075,5.3109e-01
1.100,5.5799e-01
1.125,5.4629e-01
1.150,5.6273e-01
1.175,5.7595e-01
1.200,5.8278e-01
1.225,5.8700e-01
1.250,5.8581e-01
1.275,5.8222e-01
1.300,5.7716e-01
1.325,5.5548e-01
1.350,3.7385e-01
1.375,1.8864e-01
1.400,0.0000e+00
1.425,0.0000e+00
1.450,0.0000e+00
1.475,0.0000e+00
1.500,0.0000e+00
1.525,0.0000e+00
1.550,0.0000e+00
1.575,0.0000e+00
1.600,0.0000e+00
1.625,0.0000e+00
1.650,0.0000e+00
1.675,0.0000e+00
1.700,0.0000e+00
1.725,0.0000e+00
1.750,0.0000e+00
1.775,0.0000e+00
1.800,0.0000e+00
1.825,0.0000e+00
1.850,0.0000e+00
1.875,0.0000e+00
1.900,0.0000e+00
1.925,0.0000e+00
1.950,0.0000e+00
1.975,0.0000e+00
2.000,0.0000e+00
2.025,0.0000e+00
2.050,0.0000e+00
2.075,0.0000e+00
2.100,0.0000e+00
2.125,0.0000e+00
2.150,0.0000e+00
2.175,0.0000e+00
2.200,0.0000e+00
2.225,0.0000e+00
2.250,0.0000e+00
2.275,0.0000e+00
2.300,0.0000e+00
2.325,0.0000e+00
2.350,0.0000e+00
2.375,0.0000e+00
2.400,0.0000e+00
2.425,0.0000e+00
2.450,0.0000e+00
