# NAME: K-high1_grating.txt
# DATE: 09/07/2018 15:14:40BST
# TYPE: Transmission estimate including Cryostat, Pre-optics, IFU, Spectrograph and Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=18000
# 
# Wavelength[um],throughput
0.3561,0.0000e+00
0.3811,0.0000e+00
0.4061,0.0000e+00
0.4311,0.0000e+00
0.4561,0.0000e+00
0.4811,0.0000e+00
0.5061,0.0000e+00
0.5311,0.0000e+00
0.5561,0.0000e+00
0.5811,0.0000e+00
0.6061,0.0000e+00
0.6311,0.0000e+00
0.6561,0.0000e+00
0.6811,0.0000e+00
0.7061,0.0000e+00
0.7311,0.0000e+00
0.7561,0.0000e+00
0.7811,0.0000e+00
0.8061,0.0000e+00
0.8311,0.0000e+00
0.8561,0.0000e+00
0.8811,0.0000e+00
0.9061,0.0000e+00
0.9311,0.0000e+00
0.9561,0.0000e+00
0.9811,0.0000e+00
1.0061,0.0000e+00
1.0311,0.0000e+00
1.0561,0.0000e+00
1.0811,0.0000e+00
1.1061,0.0000e+00
1.1311,0.0000e+00
1.1561,0.0000e+00
1.1811,0.0000e+00
1.2061,0.0000e+00
1.2311,0.0000e+00
1.2561,0.0000e+00
1.2811,0.0000e+00
1.3061,0.0000e+00
1.3311,0.0000e+00
1.3561,0.0000e+00
1.3811,0.0000e+00
1.4061,0.0000e+00
1.4311,0.0000e+00
1.4561,0.0000e+00
1.4811,0.0000e+00
1.5061,0.0000e+00
1.5311,0.0000e+00
1.5561,0.0000e+00
1.5811,0.0000e+00
1.6061,0.0000e+00
1.6311,0.0000e+00
1.6561,0.0000e+00
1.6811,0.0000e+00
1.7061,0.0000e+00
1.7311,0.0000e+00
1.7561,0.0000e+00
1.7811,0.0000e+00
1.8061,0.0000e+00
1.8311,0.0000e+00
1.8561,0.0000e+00
1.8811,0.0000e+00
1.9061,0.0000e+00
1.9311,0.0000e+00
1.9561,0.0000e+00
1.9811,3.0672e-01
2.0061,5.4908e-01
2.0311,5.6756e-01
2.0561,5.7884e-01
2.0811,5.8278e-01
2.1061,5.7163e-01
2.1311,5.5841e-01
2.1561,5.4585e-01
2.1811,5.3099e-01
2.2061,0.0000e+00
2.2311,0.0000e+00
2.2561,0.0000e+00
2.2811,0.0000e+00
2.3061,0.0000e+00
2.3311,0.0000e+00
2.3561,0.0000e+00
