# NAME: K-long_grating.txt
# DATE: 27/09/2019 16:54:25CEST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=18000 shifted
# 
# Wavelength[um],emissivity
0.554,1.0000e+00
0.579,1.0000e+00
0.604,1.0000e+00
0.629,1.0000e+00
0.654,1.0000e+00
0.679,1.0000e+00
0.704,1.0000e+00
0.729,1.0000e+00
0.754,1.0000e+00
0.779,1.0000e+00
0.804,1.0000e+00
0.829,1.0000e+00
0.854,1.0000e+00
0.879,1.0000e+00
0.904,1.0000e+00
0.929,1.0000e+00
0.954,1.0000e+00
0.979,1.0000e+00
1.004,1.0000e+00
1.029,1.0000e+00
1.054,1.0000e+00
1.079,1.0000e+00
1.104,1.0000e+00
1.129,1.0000e+00
1.154,1.0000e+00
1.179,1.0000e+00
1.204,1.0000e+00
1.229,1.0000e+00
1.254,1.0000e+00
1.279,1.0000e+00
1.304,1.0000e+00
1.329,1.0000e+00
1.354,1.0000e+00
1.379,1.0000e+00
1.404,1.0000e+00
1.429,1.0000e+00
1.454,1.0000e+00
1.479,1.0000e+00
1.504,1.0000e+00
1.529,1.0000e+00
1.554,1.0000e+00
1.579,1.0000e+00
1.604,1.0000e+00
1.629,1.0000e+00
1.654,1.0000e+00
1.679,1.0000e+00
1.704,1.0000e+00
1.729,1.0000e+00
1.754,1.0000e+00
1.779,1.0000e+00
1.804,1.0000e+00
1.829,1.0000e+00
1.854,1.0000e+00
1.879,1.0000e+00
1.904,1.0000e+00
1.929,1.0000e+00
1.954,1.0000e+00
1.979,1.0000e+00
2.004,1.0000e+00
2.029,1.0000e+00
2.054,1.0000e+00
2.079,1.0000e+00
2.104,1.0000e+00
2.129,1.0000e+00
2.154,1.0000e+00
2.179,5.5956e-01
2.204,2.2031e-01
2.229,2.0411e-01
2.254,1.9607e-01
2.279,1.9571e-01
2.304,1.9951e-01
2.329,2.0982e-01
2.354,2.3008e-01
2.379,2.5655e-01
2.404,1.0000e+00
2.429,1.0000e+00
2.454,1.0000e+00
2.479,1.0000e+00
2.504,1.0000e+00
2.529,1.0000e+00
2.554,1.0000e+00
