# NAME: K-short_grating.txt
# DATE: 27/09/2019 16:54:24CEST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=18000 shifted
# 
# Wavelength[um],emissivity
0.381,1.0000e+00
0.406,1.0000e+00
0.431,1.0000e+00
0.456,1.0000e+00
0.481,1.0000e+00
0.506,1.0000e+00
0.531,1.0000e+00
0.556,1.0000e+00
0.581,1.0000e+00
0.606,1.0000e+00
0.631,1.0000e+00
0.656,1.0000e+00
0.681,1.0000e+00
0.706,1.0000e+00
0.731,1.0000e+00
0.756,1.0000e+00
0.781,1.0000e+00
0.806,1.0000e+00
0.831,1.0000e+00
0.856,1.0000e+00
0.881,1.0000e+00
0.906,1.0000e+00
0.931,1.0000e+00
0.956,1.0000e+00
0.981,1.0000e+00
1.006,1.0000e+00
1.031,1.0000e+00
1.056,1.0000e+00
1.081,1.0000e+00
1.106,1.0000e+00
1.131,1.0000e+00
1.156,1.0000e+00
1.181,1.0000e+00
1.206,1.0000e+00
1.231,1.0000e+00
1.256,1.0000e+00
1.281,1.0000e+00
1.306,1.0000e+00
1.331,1.0000e+00
1.356,1.0000e+00
1.381,1.0000e+00
1.406,1.0000e+00
1.431,1.0000e+00
1.456,1.0000e+00
1.481,1.0000e+00
1.506,1.0000e+00
1.531,1.0000e+00
1.556,1.0000e+00
1.581,1.0000e+00
1.606,1.0000e+00
1.631,1.0000e+00
1.656,1.0000e+00
1.681,1.0000e+00
1.706,1.0000e+00
1.731,1.0000e+00
1.756,1.0000e+00
1.781,1.0000e+00
1.806,1.0000e+00
1.831,1.0000e+00
1.856,1.0000e+00
1.881,1.0000e+00
1.906,1.0000e+00
1.931,1.0000e+00
1.956,1.0000e+00
1.981,1.0000e+00
2.006,5.5956e-01
2.031,2.2031e-01
2.056,2.0411e-01
2.081,1.9607e-01
2.106,1.9571e-01
2.131,1.9951e-01
2.156,2.0982e-01
2.181,2.3008e-01
2.206,2.5655e-01
2.231,1.0000e+00
2.256,1.0000e+00
2.281,1.0000e+00
2.306,1.0000e+00
2.331,1.0000e+00
2.356,1.0000e+00
2.381,1.0000e+00
