# NAME: K_grating.txt
# DATE: 17/07/2019 16:16:17BST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: K R=7000
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.475,1.0000e+00
0.500,1.0000e+00
0.525,1.0000e+00
0.550,1.0000e+00
0.575,1.0000e+00
0.600,1.0000e+00
0.625,1.0000e+00
0.650,1.0000e+00
0.675,1.0000e+00
0.700,1.0000e+00
0.725,1.0000e+00
0.750,1.0000e+00
0.775,1.0000e+00
0.800,1.0000e+00
0.825,1.0000e+00
0.850,1.0000e+00
0.875,1.0000e+00
0.900,1.0000e+00
0.925,1.0000e+00
0.950,1.0000e+00
0.975,1.0000e+00
1.000,1.0000e+00
1.025,1.0000e+00
1.050,1.0000e+00
1.075,1.0000e+00
1.100,1.0000e+00
1.125,1.0000e+00
1.150,1.0000e+00
1.175,1.0000e+00
1.200,1.0000e+00
1.225,1.0000e+00
1.250,1.0000e+00
1.275,1.0000e+00
1.300,1.0000e+00
1.325,1.0000e+00
1.350,1.0000e+00
1.375,1.0000e+00
1.400,1.0000e+00
1.425,1.0000e+00
1.450,1.0000e+00
1.475,1.0000e+00
1.500,1.0000e+00
1.525,1.0000e+00
1.550,1.0000e+00
1.575,1.0000e+00
1.600,1.0000e+00
1.625,1.0000e+00
1.650,1.0000e+00
1.675,1.0000e+00
1.700,1.0000e+00
1.725,1.0000e+00
1.750,1.0000e+00
1.775,1.0000e+00
1.800,1.0000e+00
1.825,1.0000e+00
1.850,1.0000e+00
1.875,1.0000e+00
1.900,1.0000e+00
1.925,5.9386e-01
1.950,1.8772e-01
1.975,1.2846e-01
2.000,1.1912e-01
2.025,1.1060e-01
2.050,1.0130e-01
2.075,8.9891e-02
2.100,8.3605e-02
2.125,7.7713e-02
2.150,7.6871e-02
2.175,7.9165e-02
2.200,7.7766e-02
2.225,7.6813e-02
2.250,8.3600e-02
2.275,9.3494e-02
2.300,9.9354e-02
2.325,1.0606e-01
2.350,1.1258e-01
2.375,1.1742e-01
2.400,1.2298e-01
2.425,1.3359e-01
2.450,1.5010e-01
