# NAME: LTAO_0.6_dichroic.txt
# DATE: 12/11/2019 13:06:53CET
# TYPE: Emissivity estimate for the LTAO 0.64um dichroic
# ORIGIN: Transmission.xlsx
# LAST MODIFIED: 2018-07-09T11:55:37Z
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.475,1.0000e+00
0.500,1.0000e+00
0.525,1.0000e+00
0.550,1.0000e+00
0.575,1.0000e+00
0.600,9.5000e-01
0.625,8.0000e-01
0.650,3.5000e-01
0.675,1.6250e-01
0.700,1.0000e-01
0.725,8.7500e-02
0.750,7.5000e-02
0.775,6.2500e-02
0.800,5.0000e-02
0.825,4.7500e-02
0.850,4.5000e-02
0.875,4.2500e-02
0.900,4.0000e-02
0.925,4.0000e-02
0.950,4.0000e-02
0.975,4.0000e-02
1.000,4.0000e-02
1.025,4.0000e-02
1.050,4.0000e-02
1.075,4.0000e-02
1.100,4.0000e-02
1.125,4.0000e-02
1.150,4.0000e-02
1.175,4.0000e-02
1.200,4.0000e-02
1.225,4.0000e-02
1.250,4.0000e-02
1.275,4.0000e-02
1.300,4.0000e-02
1.325,4.0000e-02
1.350,4.0000e-02
1.375,4.0000e-02
1.400,4.0000e-02
1.425,4.0000e-02
1.450,4.0000e-02
1.475,4.0000e-02
1.500,4.0000e-02
1.525,4.0000e-02
1.550,4.0000e-02
1.575,4.0000e-02
1.600,4.0000e-02
1.625,3.9170e-02
1.650,3.8330e-02
1.675,3.7500e-02
1.700,3.6670e-02
1.725,3.5830e-02
1.750,3.5000e-02
1.775,3.4170e-02
1.800,3.3330e-02
1.825,3.2500e-02
1.850,3.1670e-02
1.875,3.0830e-02
1.900,3.0000e-02
1.925,3.0000e-02
1.950,3.0000e-02
1.975,3.0000e-02
2.000,3.0000e-02
2.025,3.0000e-02
2.050,3.0000e-02
2.075,3.0000e-02
2.100,3.0000e-02
2.125,3.0000e-02
2.150,3.0000e-02
2.175,3.0000e-02
2.200,3.0000e-02
2.225,2.9170e-02
2.250,2.8330e-02
2.275,2.7500e-02
2.300,2.6670e-02
2.325,2.5830e-02
2.350,2.5000e-02
2.375,2.4170e-02
2.400,2.3330e-02
2.425,2.2500e-02
2.450,2.1670e-02
