# NAME: LTAO_dichroic.txt
# DATE: 22/05/2018 21:29:29BST
# TYPE: LTAO dichroic transmission estimate
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2017-11-05T15:43:53Z
# 
# Wavelength[um],throughput
0.450,0.0000e+00
0.475,0.0000e+00
0.500,0.0000e+00
0.525,0.0000e+00
0.550,0.0000e+00
0.575,0.0000e+00
0.600,5.0000e-02
0.625,2.0000e-01
0.650,6.5000e-01
0.675,8.3750e-01
0.700,9.0000e-01
0.725,9.1250e-01
0.750,9.2500e-01
0.775,9.3750e-01
0.800,9.5000e-01
0.825,9.5250e-01
0.850,9.5500e-01
0.875,9.5750e-01
0.900,9.6000e-01
0.925,9.6000e-01
0.950,9.6000e-01
0.975,9.6000e-01
1.000,9.6000e-01
1.025,9.6000e-01
1.050,9.6000e-01
1.075,9.6000e-01
1.100,9.6000e-01
1.125,9.6000e-01
1.150,9.6000e-01
1.175,9.6000e-01
1.200,9.6000e-01
1.225,9.6000e-01
1.250,9.6000e-01
1.275,9.6000e-01
1.300,9.6000e-01
1.325,9.6000e-01
1.350,9.6000e-01
1.375,9.6000e-01
1.400,9.6000e-01
1.425,9.6000e-01
1.450,9.6000e-01
1.475,9.6000e-01
1.500,9.6000e-01
1.525,9.6000e-01
1.550,9.6000e-01
1.575,9.6000e-01
1.600,9.6000e-01
1.625,9.6083e-01
1.650,9.6167e-01
1.675,9.6250e-01
1.700,9.6333e-01
1.725,9.6417e-01
1.750,9.6500e-01
1.775,9.6583e-01
1.800,9.6667e-01
1.825,9.6750e-01
1.850,9.6833e-01
1.875,9.6917e-01
1.900,9.7000e-01
1.925,9.7000e-01
1.950,9.7000e-01
1.975,9.7000e-01
2.000,9.7000e-01
2.025,9.7000e-01
2.050,9.7000e-01
2.075,9.7000e-01
2.100,9.7000e-01
2.125,9.7000e-01
2.150,9.7000e-01
2.175,9.7000e-01
2.200,9.7000e-01
2.225,9.7083e-01
2.250,9.7167e-01
2.275,9.7250e-01
2.300,9.7333e-01
2.325,9.7417e-01
2.350,9.7500e-01
2.375,9.7583e-01
2.400,9.7667e-01
2.425,9.7750e-01
2.450,9.7833e-01
