# NAME: MORFEO_t5000.txt
# DATE: 07/05/2025
# VERSION: 1.0
# ORIGIN: MORFEO_transmission.xlsx
#
# Wavelength[um],emissivity
1.719999999999999585e-01,1.0000E+00
1.929999999999999771e-01,1.0000E+00
2.479999999999999705e-01,1.0000E+00
2.499999999999999722e-01,1.0000E+00
2.599999999999999534e-01,1.0000E+00
2.699999999999999623e-01,1.0000E+00
2.799999999999999711e-01,1.0000E+00
2.899999999999999245e-01,1.0000E+00
2.999999999999999889e-01,1.0000E+00
3.019999999999999907e-01,1.0000E+00
3.029999999999999916e-01,1.0000E+00
3.039999999999999925e-01,1.0000E+00
3.059999999999999942e-01,1.0000E+00
3.069999999999999951e-01,1.0000E+00
3.079999999999999960e-01,1.0000E+00
3.099999999999999423e-01,1.0000E+00
3.119999999999999440e-01,1.0000E+00
3.139999999999999458e-01,1.0000E+00
3.159999999999999476e-01,1.0000E+00
3.169999999999999485e-01,1.0000E+00
3.179999999999999494e-01,1.0000E+00
3.199999999999999512e-01,1.0000E+00
3.209999999999999520e-01,1.0000E+00
3.219999999999999529e-01,1.0000E+00
3.239999999999999547e-01,1.0000E+00
3.259999999999999565e-01,9.9996E-01
3.279999999999999583e-01,9.9964E-01
3.299999999999999600e-01,9.9824E-01
3.309999999999999609e-01,9.9679E-01
3.319999999999999618e-01,9.9451E-01
3.339999999999999636e-01,9.8782E-01
3.349999999999999645e-01,9.8362E-01
3.359999999999999654e-01,9.7833E-01
3.379999999999999671e-01,9.6703E-01
3.389999999999999680e-01,9.6118E-01
3.399999999999999689e-01,9.5452E-01
3.419999999999999707e-01,9.4179E-01
3.439999999999999725e-01,9.2952E-01
3.459999999999999742e-01,9.1758E-01
3.479999999999999760e-01,9.0747E-01
3.499999999999999778e-01,8.9769E-01
3.519999999999999796e-01,8.8955E-01
3.539999999999999813e-01,8.8157E-01
3.559999999999999831e-01,8.7475E-01
3.579999999999999849e-01,8.6800E-01
3.599999999999999867e-01,8.6252E-01
3.619999999999999885e-01,8.5713E-01
3.639999999999999902e-01,8.5246E-01
3.649999999999999356e-01,8.5043E-01
3.659999999999999920e-01,8.4838E-01
3.679999999999999938e-01,8.4485E-01
3.699999999999999956e-01,8.4015E-01
3.719999999999999973e-01,8.3506E-01
3.739999999999999991e-01,8.3058E-01
3.759999999999999454e-01,8.2669E-01
3.779999999999999472e-01,8.2112E-01
3.799999999999999489e-01,8.1566E-01
3.819999999999999507e-01,8.0999E-01
3.839999999999999525e-01,8.0446E-01
3.859999999999999543e-01,7.9795E-01
3.869999999999999551e-01,7.9487E-01
3.879999999999999005e-01,7.9175E-01
3.899999999999999023e-01,7.8468E-01
3.909999999999999032e-01,7.8119E-01
3.919999999999999041e-01,7.7765E-01
3.939999999999999059e-01,7.7047E-01
3.949999999999999067e-01,7.6687E-01
3.959999999999999076e-01,7.6325E-01
3.979999999999999094e-01,7.5655E-01
3.999999999999999667e-01,7.4829E-01
4.009999999999999676e-01,7.2139E-01
4.019999999999999685e-01,7.1173E-01
4.029999999999999694e-01,7.2865E-01
4.039999999999999702e-01,7.7581E-01
4.049999999999999711e-01,7.6456E-01
4.059999999999999720e-01,7.4029E-01
4.069999999999999729e-01,7.1656E-01
4.079999999999999738e-01,6.8850E-01
4.089999999999999747e-01,6.8101E-01
4.100000000000000311e-01,6.9043E-01
4.110000000000000320e-01,7.1047E-01
4.120000000000000329e-01,7.2378E-01
4.130000000000000338e-01,7.0239E-01
4.140000000000000346e-01,7.1411E-01
4.150000000000000355e-01,7.1766E-01
4.160000000000000364e-01,6.8938E-01
4.169999999999999263e-01,6.8216E-01
4.179999999999999272e-01,6.8011E-01
4.189999999999999281e-01,6.6021E-01
4.199999999999999289e-01,6.4387E-01
4.209999999999999298e-01,6.7987E-01
4.219999999999999307e-01,6.8596E-01
4.229999999999999316e-01,6.5599E-01
4.239999999999999325e-01,6.4629E-01
4.249999999999999334e-01,6.6720E-01
4.259999999999999343e-01,6.5077E-01
4.269999999999999352e-01,6.1532E-01
4.279999999999999361e-01,6.0581E-01
4.289999999999999369e-01,6.0129E-01
4.299999999999999378e-01,6.0135E-01
4.309999999999999387e-01,6.0934E-01
4.319999999999999396e-01,6.3195E-01
4.329999999999999405e-01,6.2891E-01
4.339999999999999414e-01,5.9754E-01
4.349999999999999423e-01,5.7726E-01
4.359999999999999432e-01,5.7040E-01
4.369999999999999440e-01,5.7631E-01
4.379999999999999449e-01,6.0147E-01
4.389999999999999458e-01,6.4100E-01
4.399999999999999467e-01,6.3258E-01
4.409999999999999476e-01,5.9704E-01
4.419999999999999485e-01,5.7689E-01
4.429999999999999494e-01,5.7034E-01
4.439999999999999503e-01,5.6929E-01
4.449999999999999512e-01,5.7780E-01
4.459999999999999520e-01,6.1240E-01
4.469999999999999529e-01,6.7478E-01
4.479999999999999538e-01,6.7699E-01
4.489999999999999547e-01,6.0183E-01
4.499999999999999556e-01,5.6580E-01
4.509999999999999565e-01,5.6365E-01
4.519999999999999574e-01,5.6911E-01
4.529999999999999583e-01,5.6645E-01
4.539999999999999036e-01,6.0617E-01
4.549999999999999045e-01,6.6917E-01
4.559999999999999054e-01,6.6134E-01
4.569999999999999063e-01,5.8529E-01
4.579999999999999072e-01,5.5173E-01
4.589999999999999081e-01,5.5304E-01
4.599999999999999090e-01,5.5921E-01
4.609999999999999098e-01,6.1809E-01
4.619999999999999107e-01,6.7547E-01
4.629999999999999116e-01,6.8710E-01
4.639999999999999125e-01,7.5156E-01
4.649999999999999134e-01,7.4386E-01
4.659999999999999143e-01,6.3685E-01
4.669999999999999152e-01,5.9826E-01
4.679999999999999161e-01,6.3551E-01
4.689999999999999170e-01,6.8698E-01
4.699999999999999178e-01,6.5846E-01
4.709999999999999187e-01,6.7316E-01
4.719999999999999196e-01,7.2776E-01
4.729999999999999205e-01,7.5342E-01
4.739999999999999214e-01,6.6276E-01
4.749999999999999223e-01,6.1854E-01
4.759999999999999232e-01,6.3021E-01
4.769999999999999241e-01,6.7212E-01
4.779999999999999249e-01,6.6598E-01
4.789999999999999258e-01,5.9410E-01
4.799999999999999267e-01,5.4306E-01
4.809999999999999276e-01,5.2609E-01
4.819999999999999285e-01,5.3464E-01
4.829999999999999294e-01,5.8146E-01
4.839999999999999303e-01,6.2845E-01
4.849999999999999312e-01,5.9325E-01
4.859999999999999321e-01,5.5989E-01
4.869999999999999329e-01,5.4063E-01
4.879999999999999338e-01,5.3459E-01
4.889999999999999347e-01,5.4696E-01
4.899999999999999356e-01,5.7877E-01
4.909999999999999365e-01,6.2049E-01
4.919999999999999374e-01,6.4998E-01
4.929999999999999383e-01,6.6317E-01
4.939999999999999392e-01,6.7718E-01
4.949999999999999400e-01,6.9879E-01
4.959999999999999409e-01,7.1753E-01
4.969999999999999418e-01,7.1695E-01
4.979999999999999427e-01,6.8719E-01
4.989999999999999436e-01,6.3700E-01
4.999999999999999445e-01,6.1995E-01
5.009999999999998899e-01,6.4960E-01
5.019999999999998908e-01,6.6255E-01
5.029999999999998916e-01,6.7616E-01
5.039999999999998925e-01,6.9614E-01
5.049999999999998934e-01,7.1287E-01
5.059999999999998943e-01,7.1070E-01
5.069999999999998952e-01,7.6155E-01
5.079999999999998961e-01,8.3268E-01
5.089999999999998970e-01,7.3750E-01
5.099999999999998979e-01,6.2102E-01
5.109999999999998987e-01,5.7155E-01
5.119999999999998996e-01,5.6698E-01
5.129999999999999005e-01,5.9694E-01
5.139999999999999014e-01,6.5750E-01
5.149999999999999023e-01,7.0182E-01
5.159999999999999032e-01,7.2413E-01
5.169999999999999041e-01,8.2178E-01
5.179999999999999050e-01,7.7887E-01
5.189999999999999059e-01,6.5376E-01
5.199999999999999067e-01,5.8094E-01
5.209999999999999076e-01,5.7747E-01
5.219999999999999085e-01,6.3963E-01
5.229999999999999094e-01,7.4029E-01
5.239999999999999103e-01,8.5104E-01
5.249999999999999112e-01,9.2086E-01
5.259999999999999121e-01,9.4182E-01
5.269999999999999130e-01,9.2922E-01
5.279999999999999138e-01,8.7189E-01
5.289999999999999147e-01,7.7532E-01
5.299999999999999156e-01,6.8222E-01
5.309999999999999165e-01,6.2086E-01
5.319999999999999174e-01,6.7808E-01
5.329999999999999183e-01,7.8675E-01
5.339999999999999192e-01,8.8523E-01
5.349999999999999201e-01,9.3512E-01
5.359999999999999210e-01,9.4360E-01
5.369999999999999218e-01,9.1754E-01
5.379999999999999227e-01,9.0566E-01
5.389999999999999236e-01,8.2857E-01
5.399999999999999245e-01,7.5593E-01
5.409999999999999254e-01,7.2355E-01
5.419999999999999263e-01,7.3102E-01
5.429999999999999272e-01,7.7314E-01
5.439999999999999281e-01,8.4076E-01
5.449999999999999289e-01,9.1089E-01
5.459999999999999298e-01,9.5189E-01
5.469999999999999307e-01,9.5328E-01
5.479999999999999316e-01,9.3222E-01
5.489999999999999325e-01,9.1190E-01
5.499999999999999334e-01,9.0456E-01
5.509999999999999343e-01,9.1124E-01
5.519999999999999352e-01,9.2761E-01
5.529999999999999361e-01,9.4724E-01
5.539999999999999369e-01,9.6471E-01
5.549999999999999378e-01,9.7708E-01
5.559999999999999387e-01,9.8432E-01
5.569999999999999396e-01,9.8789E-01
5.579999999999999405e-01,9.8943E-01
5.589999999999999414e-01,9.9012E-01
5.599999999999999423e-01,9.9048E-01
5.609999999999999432e-01,9.9073E-01
5.619999999999999440e-01,9.9095E-01
5.629999999999999449e-01,9.9119E-01
5.639999999999999458e-01,9.9144E-01
5.650000000000000577e-01,9.9171E-01
5.660000000000000586e-01,9.9197E-01
5.670000000000000595e-01,9.9219E-01
5.680000000000000604e-01,9.9235E-01
5.690000000000000613e-01,9.9242E-01
5.700000000000000622e-01,9.9240E-01
5.710000000000000631e-01,9.9232E-01
5.720000000000000639e-01,9.9222E-01
5.730000000000000648e-01,9.9237E-01
5.740000000000000657e-01,9.9250E-01
5.750000000000000666e-01,9.9260E-01
5.760000000000000675e-01,9.9270E-01
5.769999999999998463e-01,9.9282E-01
5.779999999999999583e-01,9.9296E-01
5.789999999999998481e-01,9.9308E-01
5.799999999999999600e-01,9.9317E-01
5.809999999999999609e-01,9.9319E-01
5.819999999999999618e-01,9.9314E-01
5.829999999999998517e-01,9.9303E-01
5.839999999999999636e-01,9.9288E-01
5.849999999999998535e-01,9.9274E-01
5.859999999999999654e-01,9.9261E-01
5.869999999999998552e-01,9.9251E-01
5.879999999999999671e-01,9.9247E-01
5.889999999999998570e-01,9.9247E-01
5.899999999999999689e-01,9.9249E-01
5.909999999999998588e-01,9.9250E-01
5.919999999999999707e-01,9.9246E-01
5.929999999999999716e-01,9.9234E-01
5.939999999999999725e-01,9.9214E-01
5.949999999999999734e-01,9.9188E-01
5.959999999999999742e-01,9.9160E-01
5.969999999999999751e-01,9.9133E-01
5.979999999999999760e-01,9.9110E-01
5.989999999999999769e-01,9.9091E-01
5.999999999999999778e-01,9.9076E-01
6.009999999999999787e-01,9.9062E-01
6.019999999999999796e-01,9.9045E-01
6.029999999999999805e-01,9.9023E-01
6.039999999999999813e-01,9.8993E-01
6.049999999999999822e-01,9.8953E-01
6.059999999999999831e-01,9.8905E-01
6.069999999999999840e-01,9.8852E-01
6.079999999999999849e-01,9.8794E-01
6.089999999999999858e-01,9.8730E-01
6.099999999999999867e-01,9.8660E-01
6.109999999999999876e-01,9.8582E-01
6.119999999999999885e-01,9.8494E-01
6.129999999999999893e-01,9.8395E-01
6.139999999999999902e-01,9.8281E-01
6.149999999999999911e-01,9.8151E-01
6.159999999999999920e-01,9.8001E-01
6.169999999999999929e-01,9.7828E-01
6.179999999999999938e-01,9.7623E-01
6.189999999999998836e-01,9.7373E-01
6.199999999999998845e-01,9.7047E-01
6.209999999999998854e-01,9.6583E-01
6.219999999999998863e-01,9.5822E-01
6.229999999999998872e-01,9.4369E-01
6.239999999999998881e-01,9.1490E-01
6.249999999999998890e-01,8.6292E-01
6.259999999999998899e-01,7.8215E-01
6.269999999999998908e-01,6.8327E-01
6.279999999999998916e-01,5.8951E-01
6.289999999999998925e-01,5.1845E-01
6.299999999999998934e-01,4.7320E-01
6.309999999999998943e-01,4.4719E-01
6.319999999999998952e-01,4.3256E-01
6.329999999999998961e-01,4.2446E-01
6.339999999999998970e-01,4.1972E-01
6.349999999999998979e-01,4.1630E-01
6.359999999999998987e-01,4.1566E-01
6.369999999999998996e-01,4.1698E-01
6.379999999999999005e-01,4.1831E-01
6.389999999999999014e-01,4.1962E-01
6.399999999999999023e-01,4.2163E-01
6.409999999999999032e-01,4.2458E-01
6.419999999999999041e-01,4.2896E-01
6.429999999999999050e-01,4.3508E-01
6.439999999999999059e-01,4.4034E-01
6.449999999999999067e-01,4.4155E-01
6.459999999999999076e-01,4.3887E-01
6.469999999999999085e-01,4.3336E-01
6.479999999999999094e-01,4.2636E-01
6.489999999999999103e-01,4.2025E-01
6.499999999999999112e-01,4.1784E-01
6.509999999999999121e-01,4.1850E-01
6.519999999999999130e-01,4.1983E-01
6.529999999999999138e-01,4.2320E-01
6.539999999999999147e-01,4.2777E-01
6.549999999999999156e-01,4.3282E-01
6.559999999999999165e-01,4.3736E-01
6.569999999999999174e-01,4.3988E-01
6.579999999999999183e-01,4.3896E-01
6.589999999999999192e-01,4.3474E-01
6.599999999999999201e-01,4.4079E-01
6.609999999999999210e-01,4.4809E-01
6.619999999999999218e-01,4.4655E-01
6.629999999999999227e-01,4.3809E-01
6.639999999999999236e-01,4.3044E-01
6.649999999999999245e-01,4.2711E-01
6.659999999999999254e-01,4.2884E-01
6.669999999999999263e-01,4.3588E-01
6.679999999999999272e-01,4.4417E-01
6.689999999999999281e-01,4.4630E-01
6.699999999999999289e-01,4.3800E-01
6.709999999999999298e-01,4.2492E-01
6.719999999999999307e-01,4.3054E-01
6.729999999999999316e-01,4.4197E-01
6.739999999999999325e-01,4.4736E-01
6.749999999999999334e-01,4.4426E-01
6.759999999999999343e-01,4.3589E-01
6.769999999999999352e-01,4.2901E-01
