# NAME: QuantumFS500_Emissivity.txt
# DATE: 17/07/2019 16:16:18BST
# VERSION: 1.0
# ORIGIN: emisivity.py
# AUTHOR: Fraser Clarke
# 
# Wavelength[um],emissivity
0.400, 3.0739E-02
0.500, 1.8211E-02
0.600, 1.9036E-02
0.700, 2.3339E-02
0.800, 2.8467E-02
0.900, 2.9925E-02
1.000, 2.7530E-02
1.100, 2.4769E-02
1.200, 2.1772E-02
1.300, 1.8907E-02
1.400, 1.6330E-02
1.500, 1.4684E-02
1.600, 1.3296E-02
1.700, 1.2224E-02
1.800, 1.1167E-02
1.900, 1.0061E-02
2.000, 1.0170E-02
2.100, 9.9993E-03
2.200, 8.6077E-03
2.300, 9.3363E-03
2.400, 9.2717E-03
2.500, 9.3319E-03



