# NAME: SCAO_0.8_dichroic.txt
# DATE: 12/11/2019 13:06:53CET
# TYPE: Emissivity estimate for the SCAO 0.8um dichroic
# ORIGIN: shifted and scaled LTAO curve
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.608,1.0000e+00
0.633,1.0000e+00
0.658,1.0000e+00
0.683,1.0000e+00
0.708,1.0000e+00
0.733,1.0000e+00
0.758,9.5000e-01
0.783,8.0000e-01
0.808,3.5677e-01
0.833,1.7122e-01
0.858,1.0938e-01
0.883,9.7005e-02
0.908,8.4635e-02
0.933,7.2266e-02
0.958,5.9896e-02
0.983,5.7422e-02
1.008,5.4948e-02
1.033,5.2474e-02
1.058,5.0000e-02
1.083,5.0000e-02
1.108,5.0000e-02
1.133,5.0000e-02
1.158,5.0000e-02
1.183,5.0000e-02
1.208,5.0000e-02
1.233,5.0000e-02
1.258,5.0000e-02
1.283,5.0000e-02
1.308,5.0000e-02
1.333,5.0000e-02
1.358,5.0000e-02
1.383,5.0000e-02
1.408,5.0000e-02
1.433,5.0000e-02
1.458,5.0000e-02
1.483,5.0000e-02
1.508,5.0000e-02
1.533,5.0000e-02
1.558,5.0000e-02
1.583,5.0000e-02
1.608,5.0000e-02
1.633,5.0000e-02
1.658,5.0000e-02
1.683,5.0000e-02
1.708,5.0000e-02
1.733,5.0000e-02
1.758,5.0000e-02
1.783,4.9179e-02
1.808,4.8347e-02
1.833,4.7526e-02
1.858,4.6705e-02
1.883,4.5873e-02
1.908,4.5052e-02
1.933,4.4231e-02
1.958,4.3399e-02
1.983,4.2578e-02
2.008,4.1757e-02
2.033,4.0926e-02
2.058,4.0104e-02
2.083,4.0104e-02
2.108,4.0104e-02
2.133,4.0104e-02
2.158,4.0104e-02
2.183,4.0104e-02
2.208,4.0104e-02
2.233,4.0104e-02
2.258,4.0104e-02
2.283,4.0104e-02
2.308,4.0104e-02
2.333,4.0104e-02
2.358,4.0104e-02
2.383,3.9283e-02
2.408,3.8452e-02
2.433,3.7630e-02
2.458,3.6809e-02
2.483,3.5978e-02
2.508,3.5156e-02
2.533,3.4335e-02
2.558,3.3504e-02
2.583,3.2682e-02
2.608,3.1861e-02
