# NAME: Suprasil3001_50mm_Emissivity.txt
# DATE: 17/07/2019 16:16:18BST
# VERSION: 1.0
# ORIGIN: emisivity.py
# AUTHOR: Fraser Clarke
# 
# Wavelength[um],emissivity
0.400, 3.722700e-04
0.425, 4.316400e-04
0.450, 5.478600e-04
0.475, 5.766200e-04
0.500, 1.037900e-03
0.525, 7.871600e-04
0.550, 6.341500e-04
0.575, 7.158400e-04
0.600, 6.939800e-04
0.625, 5.733800e-04
0.650, 4.258800e-04
0.675, 2.175700e-04
0.700, 1.761300e-04
0.725, 1.300900e-04
0.750, 1.680700e-04
0.775, 3.224800e-04
0.800, 4.304900e-04
0.825, 4.362400e-04
0.850, 3.833000e-04
0.875, 7.250400e-04
0.900, 8.745800e-04
0.925, 8.435300e-04
0.950, 7.837100e-04
0.975, 6.907500e-04
1.000, 7.008800e-04
1.025, 8.124700e-04
1.050, 9.459000e-04
1.075, 1.003400e-03
1.100, 1.133350e-03
1.125, 1.171160e-03
1.150, 1.309740e-03
1.175, 1.039060e-03
1.200, 1.405220e-03
1.225, 1.384870e-03
1.250, 1.062060e-03
1.275, 9.700500e-04
1.300, 9.297900e-04
1.325, 7.296400e-04
1.350, 6.901400e-04
1.375, 7.215900e-04
1.400, 6.905300e-04
1.425, 5.927300e-04
1.450, 5.812300e-04
1.475, 6.238000e-04
1.500, 6.801700e-04
1.525, 6.353000e-04
1.550, 6.582000e-04
1.575, 6.007900e-04
1.600, 6.226500e-04
1.625, 6.249500e-04
1.650, 6.279400e-04
1.675, 2.808700e-04
1.700, 1.335400e-04
1.725, 2.210200e-04
1.750, 1.508100e-04
1.775, 3.325300e-04
1.800, 4.270300e-04
1.825, 4.235800e-04
1.850, 4.040200e-04
1.875, 3.784100e-04
1.900, 3.349700e-04
1.925, 3.292100e-04
1.950, 7.595500e-04
1.975, 7.745100e-04
2.000, 8.734300e-04
2.025, 8.722800e-04
2.050, 9.401500e-04
2.075, 9.297900e-04
2.100, 1.008000e-03
2.125, 1.104610e-03
2.150, 1.196600e-03
2.175, 1.504920e-03
2.200, 1.947130e-03
2.225, 2.647010e-03
2.250, 3.474980e-03
2.275, 4.628470e-03
2.300, 6.251130e-03
2.325, 8.383580e-03
2.350, 1.082167e-02
2.375, 1.360057e-02
2.400, 1.671023e-02
2.425, 2.001131e-02
2.450, 2.275395e-02
2.475, 2.540501e-02
2.500, 2.817524e-02
